,title,release_date,original_language,genres,budget,revenue,runtime,year
114,Godzilla x Kong: The New Empire,2024-03-27,en,Action-Adventure-Science Fiction-Fantasy-Thriller-Mystery,150000000.0,567156493.0,115.0,2024
117,Con Air,1997-06-05,en,Action-Thriller-Crime,75000000.0,224012234.0,116.0,1997
122,Terrifier 2,2022-10-06,en,Horror,250000.0,12400000.0,138.0,2022
123,Poor Things,2023-12-07,en,Science Fiction-Romance-Comedy,35000000.0,117193959.0,142.0,2023
128,Creed II,2018-11-21,en,Drama,50000000.0,214215889.0,130.0,2018
129,Jurassic World Dominion,2022-06-01,en,Adventure-Action-Science Fiction,165000000.0,1001978080.0,147.0,2022
132,Creed,2015-11-25,en,Drama,37000000.0,173567581.0,133.0,2015
133,Strange World,2022-11-23,en,Animation-Family-Adventure-Science Fiction,180000000.0,73621640.0,102.0,2022
135,Beast,2022-08-11,en,Thriller,0.0,56000000.0,93.0,2022
136,Horizon: An American Saga - Chapter 1,2024-06-26,en,Drama-Western,50000000.0,31670660.0,181.0,2024
138,Missing,2023-01-19,en,Drama-Mystery-Thriller,1000000.0,42000000.0,111.0,2023
143,Bullet Train,2022-07-03,en,Action-Comedy-Thriller,90000000.0,239268602.0,126.0,2022
145,The First Omen,2024-04-03,en,Horror,30000000.0,53845880.0,119.0,2024
146,Avatar: The Way of Water,2022-12-14,en,Science Fiction-Adventure-Action,460000000.0,2320250281.0,192.0,2022
147,Sonic the Hedgehog 2,2022-04-08,en,Action-Adventure-Family-Comedy,110000000.0,402656846.0,122.0,2022
148,Top Gun: Maverick,2022-05-24,en,Action-Drama,170000000.0,1488732821.0,131.0,2022
150,Avatar,2009-12-15,en,Action-Adventure-Fantasy-Science Fiction,237000000.0,2920357254.0,162.0,2009
155,Freelance,2023-10-05,en,Action-Comedy,40000000.0,8000000.0,108.0,2023
160,Godzilla: King of the Monsters,2019-05-29,en,Science Fiction-Action,170000000.0,386600138.0,132.0,2019
161,Encanto,2021-10-13,en,Animation-Comedy-Family-Fantasy,50000000.0,253000000.0,102.0,2021
162,The Flash,2023-06-13,en,Action-Adventure-Science Fiction,300000000.0,268375616.0,144.0,2023
165,The Crow,2024-08-21,en,Action-Fantasy-Horror-Thriller,50000000.0,13690814.0,111.0,2024
167,Blue Beetle,2023-08-16,en,Action-Science Fiction-Adventure,104000000.0,129300000.0,128.0,2023
169,Hacksaw Ridge,2016-10-07,en,Drama-History-War,40000000.0,175302354.0,139.0,2016
171,Hypnotic,2023-05-11,en,Mystery-Thriller-Action-Science Fiction,70000000.0,9464308.0,94.0,2023
177,Five Nights at Freddy's,2023-10-25,en,Horror-Mystery,20000000.0,290900000.0,110.0,2023
179,Black Adam,2022-10-19,en,Action-Adventure-Science Fiction,200000000.0,393252111.0,124.0,2022
187,The Beekeeper,2024-01-08,en,Action-Crime-Thriller,35000000.0,152720535.0,105.0,2024
191,M3GAN,2022-12-28,en,Science Fiction-Horror,12000000.0,176830912.0,102.0,2022
192,The Super Mario Bros. Movie,2023-04-05,en,Animation-Family-Adventure-Fantasy-Comedy,100000000.0,1362000000.0,93.0,2023
199,Venom: Let There Be Carnage,2021-09-30,en,Science Fiction-Action-Adventure,110000000.0,506863592.0,97.0,2021
201,Godzilla,2014-05-14,en,Action-Drama-Science Fiction,160000000.0,529100000.0,123.0,2014
203,Wonka,2023-12-06,en,Comedy-Family-Fantasy,125000000.0,632302312.0,117.0,2023
205,Eight Legged Freaks,2002-07-17,en,Action-Comedy-Horror-Thriller,30000000.0,45867333.0,99.0,2002
206,Deadpool 2,2018-05-10,en,Action-Comedy-Adventure,110000000.0,785900000.0,120.0,2018
210,Jeepers Creepers: Reborn,2022-09-15,en,Horror-Thriller-Mystery,5000000.0,5954938.0,88.0,2022
212,Mad Max: Fury Road,2015-05-13,en,Action-Adventure-Science Fiction,150000000.0,378858340.0,121.0,2015
214,Guardians of the Galaxy,2014-07-30,en,Action-Science Fiction-Adventure,170000000.0,772776600.0,121.0,2014
215,Late Night with the Devil,2024-03-19,en,Horror,2000000.0,11902746.0,93.0,2024
219,Deadpool,2016-02-09,en,Action-Adventure-Comedy,58000000.0,782837347.0,108.0,2016
220,Harry Potter and the Goblet of Fire,2005-11-16,en,Adventure-Fantasy-Family,150000000.0,895921036.0,157.0,2005
222,Evil Dead II,1987-03-13,en,Horror-Comedy-Fantasy,3500000.0,10900000.0,84.0,1987
223,Bad Boys,1995-04-07,en,Action-Comedy-Crime-Thriller,19000000.0,141407024.0,119.0,1995
226,Spider-Man: No Way Home,2021-12-15,en,Action-Adventure-Science Fiction,200000000.0,1921847111.0,148.0,2021
228,Harry Potter and the Philosopher's Stone,2001-11-16,en,Adventure-Fantasy,125000000.0,976475550.0,152.0,2001
229,A Street Cat Named Bob,2016-11-04,en,Family-Drama,8000000.0,17900000.0,103.0,2016
237,"Alice, Darling",2022-12-30,en,Drama-Thriller,0.0,113346.0,90.0,2022
238,Shrek,2001-05-18,en,Animation-Comedy-Fantasy-Adventure-Family,60000000.0,487853320.0,90.0,2001
242,Guardians of the Galaxy Vol. 3,2023-05-03,en,Science Fiction-Adventure-Action,250000000.0,845600000.0,150.0,2023
243,Doctor Strange,2016-10-25,en,Action-Adventure-Fantasy,180000000.0,676343174.0,115.0,2016
246,Avengers: Endgame,2019-04-24,en,Adventure-Science Fiction-Action,356000000.0,2799439100.0,181.0,2019
249,Transformers: Age of Extinction,2014-06-25,en,Science Fiction-Action-Adventure,210000000.0,1104054072.0,165.0,2014
251,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,en,Adventure-Fantasy-Action,93000000.0,871368364.0,179.0,2001
254,Kama Sutra: A Tale of Love,1996-09-11,en,Drama-History-Romance,3000000.0,4109095.0,117.0,1996
256,Harry Potter and the Order of the Phoenix,2007-06-28,en,Adventure-Fantasy-Mystery,150000000.0,938212738.0,138.0,2007
259,Bad Boys II,2003-07-18,en,Action-Crime-Comedy,130000000.0,273339556.0,146.0,2003
261,Beverly Hills Cop,1984-12-05,en,Comedy-Crime-Action,14000000.0,316360478.0,105.0,1984
262,Madame Web,2024-02-14,en,Action-Fantasy,80000000.0,100298817.0,116.0,2024
264,Fantastic Beasts: The Secrets of Dumbledore,2022-04-06,en,Fantasy-Adventure-Action,200000000.0,406950844.0,142.0,2022
266,Kung Fu Panda,2008-06-04,en,Action-Adventure-Animation-Family-Comedy,130000000.0,632091832.0,90.0,2008
267,Avengers: Infinity War,2018-04-25,en,Adventure-Action-Science Fiction,300000000.0,2052415039.0,149.0,2018
268,Fifty Shades Freed,2018-01-17,en,Drama-Romance,55000000.0,368307760.0,105.0,2018
269,Meet the Robinsons,2007-03-23,en,Animation-Comedy-Family,150000000.0,169332978.0,95.0,2007
270,Charlie and the Chocolate Factory,2005-07-13,en,Adventure-Comedy-Family-Fantasy,150000000.0,475000000.0,115.0,2005
271,Blade Runner 2049,2017-10-04,en,Science Fiction-Drama,150000000.0,259239658.0,164.0,2017
272,Interstellar,2014-11-05,en,Adventure-Drama-Science Fiction,165000000.0,701729206.0,169.0,2014
273,Garfield,2004-06-10,en,Animation-Comedy-Family,50000000.0,200804534.0,80.0,2004
274,After Ever Happy,2022-08-24,en,Romance-Drama,0.0,12467270.0,95.0,2022
275,Sound of Freedom,2023-07-03,en,Action-Drama,14500000.0,249100000.0,131.0,2023
279,Harry Potter and the Prisoner of Azkaban,2004-05-31,en,Adventure-Fantasy,130000000.0,789804554.0,141.0,2004
280,PAW Patrol: The Mighty Movie,2023-09-21,en,Animation-Family-Action-Science Fiction-Comedy-Drama-Adventure,30000000.0,202231360.0,92.0,2023
282,After Everything,2023-09-13,en,Romance-Drama,14000000.0,10600000.0,93.0,2023
283,Hotel Transylvania: Transformania,2022-01-31,en,Animation-Comedy-Family-Adventure-Fantasy,75000000.0,18500000.0,92.0,2022
287,Till,2022-10-14,en,Drama-History,0.0,8900000.0,131.0,2022
291,Orphan: First Kill,2022-07-27,en,Horror-Thriller,0.0,9572765.0,99.0,2022
292,Fly Me to the Moon,2024-07-06,en,Comedy-Romance,100000000.0,19000000.0,132.0,2024
294,Knock at the Cabin,2023-02-01,en,Horror-Thriller-Mystery,20000000.0,54708659.0,100.0,2023
303,Coraline,2009-02-05,en,Animation-Family-Fantasy,60000000.0,131800000.0,100.0,2009
304,Cocaine Bear,2023-02-22,en,Thriller-Comedy-Crime,32500000.0,87649532.0,96.0,2023
309,Dawn of the Planet of the Apes,2014-07-08,en,Science Fiction-Action-Drama-Thriller,170000000.0,710644566.0,130.0,2014
310,Fifty Shades of Grey,2015-02-11,en,Drama-Romance-Thriller,40000000.0,571006128.0,125.0,2015
311,The Autopsy of Jane Doe,2016-12-21,en,Horror-Mystery,0.0,5972942.0,86.0,2016
312,The Whale,2022-12-09,en,Drama,3000000.0,55101305.0,116.0,2022
313,Titanic,1997-11-18,en,Drama-Romance,200000000.0,2187463944.0,194.0,1997
315,Turning Red,2022-03-10,en,Animation-Family-Comedy-Fantasy,175000000.0,21328962.0,100.0,2022
316,Last Looks,2022-01-27,en,Action-Crime-Thriller,0.0,365644.0,111.0,2022
317,Kong: Skull Island,2017-03-08,en,Action-Adventure-Fantasy,185000000.0,566652812.0,118.0,2017
318,The Batman,2022-03-01,en,Crime-Mystery-Thriller,185000000.0,770945583.0,177.0,2022
319,Saw II,2005-10-28,en,Horror,4000000.0,147748505.0,93.0,2005
320,Get Out,2017-02-24,en,Mystery-Thriller-Horror,4500000.0,255407969.0,104.0,2017
322,Morbius,2022-03-30,en,Action-Science Fiction-Fantasy,75000000.0,167460961.0,105.0,2022
326,The Lost City,2022-03-24,en,Action-Adventure-Comedy,74000000.0,190844029.0,112.0,2022
327,Beverly Hills Cop II,1987-05-18,en,Action-Comedy-Crime,28000000.0,299965036.0,103.0,1987
328,The Hunger Games: Mockingjay - Part 1,2014-11-19,en,Science Fiction-Adventure-Thriller,125000000.0,755356711.0,123.0,2014
330,North by Northwest,1959-07-08,en,Mystery-Thriller-Adventure,4000000.0,13275000.0,136.0,1959
334,Monkey Man,2024-04-03,en,Action-Thriller,10000000.0,12000000.0,121.0,2024
335,Harry Potter and the Chamber of Secrets,2002-11-13,en,Adventure-Fantasy,100000000.0,876688482.0,161.0,2002
338,Potworny,2022-05-13,en,Horror-Mystery-Thriller,0.0,138450.0,89.0,2022
339,The Help,2011-08-09,en,Drama,25000000.0,216639112.0,146.0,2011
340,Operation Fortune: Ruse de Guerre,2023-01-04,en,Action-Thriller-Comedy,50000000.0,35800000.0,114.0,2023
343,Barbie,2023-07-19,en,Comedy-Adventure,145000000.0,1445638421.0,114.0,2023
345,The Nun,2018-09-05,en,Horror-Mystery-Thriller,22000000.0,365582797.0,96.0,2018
347,Twister,1996-05-10,en,Action-Adventure-Drama,92000000.0,494471524.0,113.0,1996
349,Shrek 2,2004-05-19,en,Animation-Family-Comedy-Fantasy-Adventure-Romance,150000000.0,928760770.0,93.0,2004
350,Shang-Chi and the Legend of the Ten Rings,2021-09-01,en,Action-Adventure-Fantasy,150000000.0,432243292.0,132.0,2021
352,The Hunger Games: Catching Fire,2013-11-15,en,Adventure-Action-Science Fiction,130000000.0,865011746.0,146.0,2013
358,Dune,2021-09-15,en,Science Fiction-Adventure,165000000.0,407573628.0,155.0,2021
360,Big Hero 6,2014-10-24,en,Adventure-Family-Animation-Action-Comedy,165000000.0,657827828.0,102.0,2014
362,Memory,2022-04-28,en,Action-Thriller-Crime,0.0,11300000.0,114.0,2022
365,Uncharted,2022-02-10,en,Action-Adventure,120000000.0,401748820.0,116.0,2022
366,The Conjuring: The Devil Made Me Do It,2021-05-25,en,Horror-Mystery-Thriller,39000000.0,206431050.0,111.0,2021
368,Black Panther: Wakanda Forever,2022-11-09,en,Action-Adventure-Science Fiction,250000000.0,859102154.0,162.0,2022
371,Joker,2019-10-01,en,Crime-Thriller-Drama,55000000.0,1074500000.0,122.0,2019
372,A Good Day to Die Hard,2013-02-06,en,Action-Thriller,92000000.0,304654182.0,98.0,2013
373,Coco,2017-10-27,en,Family-Animation-Fantasy-Music-Comedy-Adventure,175000000.0,800526015.0,105.0,2017
376,Back to the Future,1985-07-03,en,Adventure-Comedy-Science Fiction,19000000.0,381109762.0,116.0,1985
379,Beverly Hills Cop III,1994-05-24,en,Action-Comedy-Crime,50000000.0,119208989.0,105.0,1994
381,The Northman,2022-04-07,en,Action-Adventure-Fantasy,70000000.0,69633110.0,137.0,2022
382,The Menu,2022-11-17,en,Horror-Thriller,35000000.0,79628200.0,107.0,2022
383,Avengers: Age of Ultron,2015-04-22,en,Action-Adventure-Science Fiction,365000000.0,1405403694.0,141.0,2015
384,Past Lives,2023-06-02,en,Drama-Romance,12000000.0,15348213.0,106.0,2023
